Role,Degree,Subject,Interests,UserId,Name
Faculty,Masters,Data Science,"""Artificial Intelligence"", ""Data Science"", ""Software Development""",i2fzsq2o749qvgzn43wv7szy,Fatima Khan
Industrial,Doctorate,Software Engineering,"""Data Science"", ""Artificial Intelligence""",vincstp0d4dl2xcvhgyo6u5e,Ali Javed
Faculty,Masters,Data Science,"""Software Development"", ""Artificial Intelligence""",5e2jbqgw4hryfoyj6hgm01k9,Omar Chaudhry
Student,Masters,Software Engineering,"""Data Science""",tvi9ebrw96t1be6ezil8rwyi,Ahmed Raza
Faculty,Masters,Software Engineering,"""Software Development""",uognxs9hs7aguamo6gyclwse,Ali Sheikh
Faculty,Masters,Computer Science,"""Data Science"", ""Human Computer Interaction"", ""Machine Learning""",ysv9mopyqdnrd6irfkb5kl3e,Omar Raza
Faculty,Masters,Software Engineering,"""Artificial Intelligence""",ojvwicdueavaxq4knj0iu5rz,Ali Malik
Industrial,Masters,Computer Science,"""Machine Learning"", ""Software Development"", ""Human Computer Interaction"", ""Networking""",ol1yogmhop1mun5a1vny6vvt,Zainab Iqbal
Student,Doctorate,Software Engineering,"""Data Science"", ""Software Development""",3vius74tz54742jlbyjwafx3,Fatima Iqbal
Student,Doctorate,Software Engineering,"""Networking""",e5whfraeu5wa6j36n44du4rx,Hina Khan
Student,Bachelors,Data Science,"""Data Science"", ""Human Computer Interaction""",akw3i6muz5nlay95pasv8zf8,Ali Raza
Industrial,Bachelors,Data Science,"""Software Development""",1133hsuqu2cbsf6uebdj8e02,Omar Sheikh
Industrial,Doctorate,Software Engineering,"""Software Development""",gi6yge3vypb54vk0l4lm4p1a,Ayesha Sheikh
Faculty,Masters,Data Science,"""Data Science"", ""Software Development""",rxp47y59ca8lq20lnh7nk5ra,Hina Ahmed
Industrial,Doctorate,Software Engineering,"""Networking""",weqem28tdsrz78ksl2oeopmf,Ayesha Raza
Industrial,Masters,Software Engineering,"""Data Science"", ""Human Computer Interaction"", ""Networking""",d8t20v5t7m5h9aux6fxuxn3n,Ayesha Chaudhry
Industrial,Masters,Software Engineering,"""Data Science""",tkojr6azlaxmf98k64l97ykk,Hassan Sheikh
Faculty,Masters,Data Science,"""Machine Learning"", ""Artificial Intelligence""",krgb6ixkpbxjeth6ocobhv04,Ahmed Khan
Faculty,Masters,Data Science,"""Software Development"", ""Data Science""",s3ssclkgrkr5isgqww7hs5w7,Zainab Javed
Faculty,Masters,Computer Science,"""Networking""",xtqa7qa6uvcq9brackxpw89j,Ali Javed
Student,Doctorate,Computer Science,"""Human Computer Interaction""",54g871ja39good7mxalr9lb8,Usman Hussain
Faculty,Masters,Computer Science,"""Data Science"", ""Software Development"", ""Human Computer Interaction""",v2vstznmcz3tvgrhn5zp2rt2,Ayesha Khan
Student,Doctorate,Computer Science,"""Data Science""",lqzwul9ddftpxs6c08wgr4xi,Ali Javed
Faculty,Masters,Software Engineering,"""Machine Learning""",f58l6khf3t25jf31fvmgzutx,Omar Chaudhry
Faculty,Doctorate,Data Science,"""Artificial Intelligence"", ""Data Science"", ""Software Development"", ""Machine Learning""",xqyd74z041dbw1ivg6omhfht,Ayesha Iqbal
Faculty,Doctorate,Computer Science,"""Software Development"", ""Artificial Intelligence""",gfxw5ifu2kq9gpjieecr4ho1,Zainab Iqbal
Faculty,Masters,Software Engineering,"""Data Science""",dh3klqmv4a3h8i7qpfglzub7,Sara Iqbal
Student,Masters,Software Engineering,"""Networking"", ""Data Science"", ""Software Development""",35gg1yk1hadl8x4hkqiht2fd,Sara Malik
Student,Doctorate,Software Engineering,"""Artificial Intelligence"", ""Software Development"", ""Machine Learning""",xahzeszvuyg3olgg6btohgqa,Sara Butt
Faculty,Masters,Software Engineering,"""Software Development""",wloqi5555h7dz9er6hxm4yzv,Ahmed Khan
Industrial,Masters,Data Science,"""Networking"", ""Data Science"", ""Human Computer Interaction"", ""Artificial Intelligence""",relucs8cn09nd2lergu8szus,Ayesha Butt
Faculty,Masters,Computer Science,"""Human Computer Interaction""",vznmmj64c6lft1bfhiazk977,Ahmed Chaudhry
Student,Doctorate,Computer Science,"""Machine Learning"", ""Software Development"", ""Human Computer Interaction""",141tle7hvnd2a8w0y0bs07mr,Ali Malik
Student,Doctorate,Software Engineering,"""Software Development""",tpcj7hb79md7n0wvlfo9p6yf,Ahmed Khan
Faculty,Masters,Computer Science,"""Human Computer Interaction""",zf9ryq3wdeikl8z77fmt6krw,Fatima Malik
Student,Bachelors,Data Science,"""Networking""",ik88v2nwsvrbmcdcw8rhqw2k,Hassan Chaudhry
Faculty,Masters,Computer Science,"""Machine Learning"", ""Networking""",7n9icn5ce24rlebs2wihbuk2,Omar Butt
Student,Bachelors,Computer Science,"""Human Computer Interaction""",wzngudfymo8hs8mkl6rmylay,Fatima Butt
Student,Doctorate,Software Engineering,"""Data Science"", ""Human Computer Interaction"", ""Networking"", ""Software Development""",hgk2fgh1m41t980yl45o4gb7,Ayesha Sheikh
Industrial,Doctorate,Software Engineering,"""Artificial Intelligence"", ""Human Computer Interaction""",xz8gbzc5tspjz3d9d02w8d3q,Sara Malik
Student,Doctorate,Software Engineering,"""Machine Learning"", ""Artificial Intelligence""",3m9u24ocsv12d4dqd1o4fhk1,Zainab Chaudhry
Faculty,Doctorate,Software Engineering,"""Artificial Intelligence"", ""Data Science""",clih36gmc3ethcuhf9bc2n3h,Hassan Malik
Student,Doctorate,Data Science,"""Networking"", ""Data Science""",5b4gfhxosgkptk73v8kb8m42,Omar Iqbal
Student,Masters,Software Engineering,"""Data Science"", ""Networking"", ""Artificial Intelligence""",zf1dy8gq3d4stgmn658zajku,Fatima Iqbal
Industrial,Doctorate,Software Engineering,"""Data Science""",s04hn1zx1lpbmmhc46sunlh5,Ahmed Butt
Industrial,Bachelors,Software Engineering,"""Human Computer Interaction"", ""Software Development""",gawyevcrg98ehwiohfrev1qp,Zainab Chaudhry
Faculty,Masters,Software Engineering,"""Human Computer Interaction"", ""Networking"", ""Data Science""",nmlnul98ayhx6q8x2mhfxkv0,Zainab Butt
Faculty,Masters,Data Science,"""Software Development"", ""Machine Learning"", ""Human Computer Interaction""",k0b99ob95q56tfz2vfosloxu,Omar Chaudhry
Faculty,Masters,Data Science,"""Networking"", ""Artificial Intelligence""",4zk3b22fylzwqou72o1n558z,Ayesha Khan
Faculty,Masters,Data Science,"""Data Science"", ""Human Computer Interaction"", ""Machine Learning""",h7v10460nax2mkj7oqh0h11h,Hassan Butt
Faculty,Doctorate,Computer Science,"""Networking""",un4k04gngofmyyeigzug0r1x,Fatima Sheikh
Faculty,Masters,Software Engineering,"""Networking""",ubk0asv2vpml3aclctouuz38,Zainab Sheikh
Industrial,Bachelors,Computer Science,"""Human Computer Interaction"", ""Machine Learning"", ""Artificial Intelligence""",50qs3c8nge7rewo0i0tsgvmo,Zainab Malik
Industrial,Masters,Data Science,"""Human Computer Interaction""",7kzokovulq9d9bw1lu44ngqs,Omar Javed
Faculty,Masters,Computer Science,"""Artificial Intelligence""",urzb8odakp39vs5agrw4wnjy,Ahmed Javed
Industrial,Doctorate,Data Science,"""Data Science""",t9u1izcz5dhrb5fsgvsi7a0q,Omar Raza
Industrial,Masters,Data Science,"""Artificial Intelligence""",w9z1xn7nqxul6xw13bnsh5q2,Fatima Raza
Student,Masters,Computer Science,"""Software Development"", ""Artificial Intelligence"", ""Machine Learning""",y9zjb3g7fe8g909eau3ve8t0,Sara Malik
Industrial,Masters,Data Science,"""Artificial Intelligence""",vn8aedn80a1l1sfotc2h3uzy,Hassan Chaudhry
